city,state,country,zipcode,latitude,longitude,pm,ozone,stamp
Atlanta,GA,US,31156,33.65,-84.43,48,37,2018-11-19
Atlanta,GA,US,31156,33.65,-84.43,75,34,2018-11-18
Atlanta,GA,US,31156,33.65,-84.43,59,25,2018-11-17
Atlanta,GA,US,31156,33.65,-84.43,41,30,2018-11-16
Atlanta,GA,US,31156,33.65,-84.43,17,20,2018-11-15
Atlanta,GA,US,31156,33.65,-84.43,27,14,2018-11-14
Atlanta,GA,US,31156,33.65,-84.43,21,6,2018-11-13
Atlanta,GA,US,31156,33.65,-84.43,23,16,2018-11-12
Atlanta,GA,US,31156,33.65,-84.43,35,31,2018-11-11
Atlanta,GA,US,31156,33.65,-84.43,32,27,2018-11-10
Atlanta,GA,US,31156,33.65,-84.43,21,19,2018-11-09
Atlanta,GA,US,31156,33.65,-84.43,47,20,2018-11-08
Atlanta,GA,US,31156,33.65,-84.43,47,22,2018-11-07
Atlanta,GA,US,31156,33.65,-84.43,29,19,2018-11-06
Atlanta,GA,US,31156,33.65,-84.43,39,10,2018-11-05
Atlanta,GA,US,31156,33.65,-84.43,33,29,2018-11-04
Atlanta,GA,US,31156,33.65,-84.43,41,30,2018-11-03
Atlanta,GA,US,31156,33.65,-84.43,23,20,2018-11-02
Atlanta,GA,US,31156,33.65,-84.43,40,30,2018-11-01
Atlanta,GA,US,31156,33.65,-84.43,62,39,2018-10-31
Louisville,KY,US,40012,38.264,-85.712,99,8,2018-11-19
Louisville,KY,US,40012,38.264,-85.712,82,33,2018-11-18
Louisville,KY,US,40012,38.264,-85.712,78,22,2018-11-17
Louisville,KY,US,40012,38.264,-85.712,70,20,2018-11-16
Louisville,KY,US,40012,38.264,-85.712,44,20,2018-11-15
Louisville,KY,US,40012,38.264,-85.712,59,21,2018-11-14
Louisville,KY,US,40012,38.264,-85.712,70,19,2018-11-13
Louisville,KY,US,40012,38.264,-85.712,67,14,2018-11-12
Louisville,KY,US,40012,38.264,-85.712,55,30,2018-11-11
Louisville,KY,US,40012,38.264,-85.712,48,26,2018-11-10
Louisville,KY,US,40012,38.264,-85.712,52,24,2018-11-09
Louisville,KY,US,40012,38.264,-85.712,45,11,2018-11-08
Louisville,KY,US,40012,38.264,-85.712,42,25,2018-11-07
Louisville,KY,US,40012,38.264,-85.712,39,28,2018-11-06
Louisville,KY,US,40012,38.264,-85.712,36,29,2018-11-05
Louisville,KY,US,40012,38.264,-85.712,42,31,2018-11-04
Louisville,KY,US,40012,38.264,-85.712,59,31,2018-11-03
Louisville,KY,US,40012,38.264,-85.712,28,25,2018-11-02
Louisville,KY,US,40012,38.264,-85.712,27,31,2018-11-01
Louisville,KY,US,40012,38.264,-85.712,49,31,2018-10-31
Hazard,KY,US,41855,37.28,-83.22,29,0,2018-11-19
Hazard,KY,US,41855,37.28,-83.22,45,0,2018-11-18
Hazard,KY,US,41855,37.28,-83.22,43,0,2018-11-17
Hazard,KY,US,41855,37.28,-83.22,27,0,2018-11-14
Hazard,KY,US,41855,37.28,-83.22,40,0,2018-11-13
Hazard,KY,US,41855,37.28,-83.22,26,0,2018-11-08
Hazard,KY,US,41855,37.28,-83.22,21,0,2018-11-07
Hazard,KY,US,41855,37.28,-83.22,42,0,2018-11-06
Hazard,KY,US,41855,37.28,-83.22,23,0,2018-11-05
Hazard,KY,US,41855,37.28,-83.22,17,0,2018-11-04
Hazard,KY,US,41855,37.28,-83.22,23,0,2018-11-03
Hazard,KY,US,41855,37.28,-83.22,26,0,2018-11-02
Hazard,KY,US,41855,37.28,-83.22,52,0,2018-11-01
Hazard,KY,US,41855,37.28,-83.22,36,46,2018-10-31
"Central LA CO",CA,US,90050,34.0663,-118.2266,133,34,2018-11-19
"Central LA CO",CA,US,90050,34.0663,-118.2266,112,58,2018-11-18
"Central LA CO",CA,US,90050,34.0663,-118.2266,71,46,2018-11-17
"Central LA CO",CA,US,90050,34.0663,-118.2266,59,30,2018-11-16
"Central LA CO",CA,US,90050,34.0663,-118.2266,48,31,2018-11-15
"Central LA CO",CA,US,90050,34.0663,-118.2266,47,35,2018-11-14
"Central LA CO",CA,US,90050,34.0663,-118.2266,47,43,2018-11-13
"Central LA CO",CA,US,90050,34.0663,-118.2266,59,43,2018-11-12
"Central LA CO",CA,US,90050,34.0663,-118.2266,123,54,2018-11-11
"Central LA CO",CA,US,90050,34.0663,-118.2266,117,51,2018-11-10
"Central LA CO",CA,US,90050,34.0663,-118.2266,49,49,2018-11-09
"Central LA CO",CA,US,90050,34.0663,-118.2266,71,51,2018-11-08
"Central LA CO",CA,US,90050,34.0663,-118.2266,61,54,2018-11-07
"Central LA CO",CA,US,90050,34.0663,-118.2266,60,48,2018-11-06
"Central LA CO",CA,US,90050,34.0663,-118.2266,67,51,2018-11-05
"Central LA CO",CA,US,90050,34.0663,-118.2266,71,90,2018-11-04
"Central LA CO",CA,US,90050,34.0663,-118.2266,67,58,2018-11-03
"Central LA CO",CA,US,90050,34.0663,-118.2266,63,49,2018-11-02
"Central LA CO",CA,US,90050,34.0663,-118.2266,57,41,2018-11-01
"Central LA CO",CA,US,90050,34.0663,-118.2266,62,44,2018-10-31
"C San Bernardino-1",CA,US,92334,34.1005,-117.4919,40,38,2018-11-19
"C San Bernardino-1",CA,US,92334,34.1005,-117.4919,61,38,2018-11-18
"C San Bernardino-1",CA,US,92334,34.1005,-117.4919,52,35,2018-11-17
"C San Bernardino-1",CA,US,92334,34.1005,-117.4919,27,30,2018-11-16
"C San Bernardino-1",CA,US,92334,34.1005,-117.4919,16,30,2018-11-15
"C San Bernardino-1",CA,US,92334,34.1005,-117.4919,15,36,2018-11-14
"C San Bernardino-1",CA,US,92334,34.1005,-117.4919,13,38,2018-11-13
"C San Bernardino-1",CA,US,92334,34.1005,-117.4919,37,43,2018-11-12
"C San Bernardino-1",CA,US,92334,34.1005,-117.4919,103,58,2018-11-11
"C San Bernardino-1",CA,US,92334,34.1005,-117.4919,45,45,2018-11-10
"C San Bernardino-1",CA,US,92334,34.1005,-117.4919,10,44,2018-11-09
"C San Bernardino-1",CA,US,92334,34.1005,-117.4919,57,44,2018-11-08
